#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
108,HongKong,"4,831",+8,92,+2,"4,401",+21,338,25,644,12,"780,415","103,953","7,507,357",Asia,"1,554","81,602",10
109,CAR,"4,711",,62,,"1,790",,"2,859",2,973,13,"31,126","6,426","4,843,725",Africa,"1,028","78,125",156
110,Nicaragua,"4,668",,141,,"2,913",,"1,614",,703,21,,,"6,637,860",NorthAmerica,"1,422","47,077",
111,Eswatini,"4,618",,94,,"3,562",,962,11,"3,973",81,"30,327","26,094","1,162,201",Africa,252,"12,364",38
112,Rwanda,"4,142",,16,,"2,044",,"2,082",,319,1,"415,329","31,938","13,004,423",Africa,"3,140","812,776",31
113,Mozambique,"4,117",+78,25,+2,"2,170",,"1,922",,131,0.8,"96,387","3,070","31,396,409",Africa,"7,626","1,255,856",326
114,Suriname,"4,089",,72,,"3,171",,846,19,"6,960",123,"8,881","15,116","587,527",SouthAmerica,144,"8,160",66
115,Cuba,"4,065",,95,,"3,395",,575,6,359,8,"392,785","34,682","11,325,409",NorthAmerica,"2,786","119,215",29
116,Slovakia,"4,042",+53,33,,"2,523",+45,"1,486",18,740,6,"340,123","62,292","5,460,102",Europe,"1,351","165,458",16
117,Congo,"3,979",,78,,"1,742",,"2,159",,718,14,,,"5,540,183",Africa,"1,392","71,028",
118,CaboVerde,"3,970",,40,,"3,423",,507,,"7,127",72,"76,576","137,477","557,009",Africa,140,"13,925",7
119,Tunisia,"3,963",,80,,"1,624",,"2,259",15,335,7,"146,307","12,357","11,839,580",Africa,"2,988","147,995",81
120,Thailand,"3,425",+8,58,,"3,274",,93,1,49,0.8,"749,213","10,729","69,830,301",Asia,"20,388","1,203,971",93
121,Somalia,"3,310",,98,,"2,481",,731,,207,6,,,"15,964,632",Africa,"4,823","162,904",
122,Mayotte,"3,301",,40,,"2,964",,297,1,"12,052",146,"13,000","47,465","273,887",Africa,83,"6,847",21
123,Uganda,"3,112",+75,32,,"1,528",+39,"1,552",,68,0.7,"385,882","8,394","45,970,965",Africa,"14,772","1,436,593",119
124,SriLanka,"3,101",+9,12,,"2,883",+4,206,,145,0.6,"230,547","10,759","21,428,725",Asia,"6,910","1,785,727",93
125,Gambia,"3,067",+38,97,+1,"1,032",,"1,938",,"1,263",40,"13,354","5,501","2,427,595",Africa,792,"25,027",182
126,Slovenia,"2,979",+55,134,+1,"2,359",+36,486,4,"1,433",64,"161,847","77,849","2,078,988",Europe,698,"15,515",13
127,Lithuania,"2,958",+29,86,,"1,874",+17,998,5,"1,089",32,"648,863","238,953","2,715,443",Europe,918,"31,575",4
128,Syria,"2,830",,116,,646,,"2,068",,161,7,,,"17,569,888",Asia,"6,208","151,465",
129,Mali,"2,777",,126,,"2,178",,473,,136,6,"39,093","1,922","20,344,505",Africa,"7,326","161,464",520
130,Angola,"2,729",,109,,"1,084",,"1,536",24,83,3,"64,747","1,960","33,029,269",Africa,"12,103","303,021",510
131,Jamaica,"2,683",+224,24,+3,898,+8,"1,761",6,905,8,"60,309","20,351","2,963,394",NorthAmerica,"1,105","123,475",49
132,SouthSudan,"2,527",,47,,"1,290",,"1,190",,225,4,"12,044","1,074","11,215,892",Africa,"4,438","238,636",931
133,Estonia,"2,415",+20,64,,"2,130",+18,221,,"1,820",48,"151,940","114,526","1,326,690",Europe,549,"20,730",9
134,Bahamas,"2,276",,50,,801,,"1,425",83,"5,778",127,"11,445","29,057","393,882",NorthAmerica,173,"7,878",34
135,Guinea-Bissau,"2,205",,34,,"1,127",,"1,044",5,"1,116",17,"1,500",759,"1,975,591",Africa,896,"58,106","1,317"
136,Benin,"2,145",,40,,"1,738",,367,,176,3,"118,206","9,709","12,174,610",Africa,"5,676","304,365",103
137,Iceland,"2,121",+5,10,,"2,016",+9,95,,"6,209",29,"218,917","640,816","341,622",Europe,161,"34,162",2
138,Aruba,"2,104",,10,,857,,"1,237",7,"19,692",94,"21,523","201,443","106,844",NorthAmerica,51,"10,684",5
139,Jordan,"2,097",,15,,"1,564",,518,3,205,1,"839,241","82,115","10,220,328",Asia,"4,874","681,355",12
140,SierraLeone,"2,028",,71,,"1,594",,363,,253,9,,,"8,003,714",Africa,"3,947","112,728",
141,Yemen,"1,962",,570,,"1,160",,232,,66,19,120,4,"29,933,669",Asia,"15,257","52,515","249,447"
142,Malta,"1,931",+22,13,+1,"1,490",+37,428,,"4,371",29,"194,576","440,469","441,747",Europe,229,"33,981",2
143,TrinidadandTobago,"1,839",+42,28,+1,691,+6,"1,120",6,"1,313",20,"23,934","17,092","1,400,271",NorthAmerica,761,"50,010",59
144,Réunion,"1,796",+82,10,+1,880,,906,2,"2,004",11,"35,419","39,512","896,405",Africa,499,"89,641",25
145,NewZealand,"1,757",+5,22,,"1,606",+8,129,7,351,4,"777,560","155,447","5,002,100",Australia/Oceania,"2,847","227,368",6
146,Botswana,"1,724",,6,,493,,"1,225",1,731,3,"116,728","49,472","2,359,455",Africa,"1,369","393,243",20
147,Uruguay,"1,611",,44,,"1,419",,148,3,463,13,"175,080","50,371","3,475,809",SouthAmerica,"2,158","78,996",20
148,Georgia,"1,548",+38,19,,"1,270",+17,259,,388,5,"381,236","95,600","3,987,826",Asia,"2,576","209,886",10
149,Cyprus,"1,490",,21,,"1,139",,330,5,"1,233",17,"286,736","237,195","1,208,862",Asia,811,"57,565",4
150,Togo,"1,416",,28,,"1,035",,353,,170,3,"66,141","7,959","8,310,403",Africa,"5,869","296,800",126
151,Latvia,"1,406",+2,34,,"1,173",,199,1,747,18,"256,350","136,178","1,882,465",Europe,"1,339","55,367",7
152,Guyana,"1,373",,41,,742,,590,11,"1,744",52,"8,822","11,207","787,205",SouthAmerica,573,"19,200",89
153,BurkinaFaso,"1,370",,55,,"1,075",,240,,65,3,,,"20,995,721",Africa,"15,325","381,740",
154,Liberia,"1,305",,82,,"1,158",,65,,257,16,,,"5,077,085",Africa,"3,890","61,916",
155,Guadeloupe,"1,269",,16,,336,,917,8,"3,171",40,"30,463","76,132","400,136",NorthAmerica,315,"25,009",13
156,Andorra,"1,184",,53,,908,,223,3,"15,320",686,"137,457","1,778,550","77,286",Europe,65,"1,458",1
157,Niger,"1,176",,69,,"1,088",,19,,48,3,"9,052",372,"24,344,060",Africa,"20,701","352,812","2,689"
158,Lesotho,"1,085",,31,,528,,526,,506,14,"15,632","7,287","2,145,147",Africa,"1,977","69,198",137
159,Belize,"1,050",,13,,213,,824,3,"2,633",33,"8,460","21,212","398,825",NorthAmerica,380,"30,679",47
